index,artist_all,artist_base,rank,song,year,artist_featured
46,"eminem ,  dr. dre  and  50 cent",eminem,47,crack a bottle,2009,
47,beyoncé,beyoncé,48,if i were a boy,2009,
48,keri hilson  featuring  lil wayne,keri hilson,49,turnin me on,2009, lil wayne
49,pussycat dolls,pussycat dolls,50,i hate this part,2009,
50,nickelback,nickelback,51,gotta be somebody,2009,
51,pink,pink,52,please don't leave me,2009,
52,lady gaga,lady gaga,53,paparazzi,2009,
53,akon  featuring  colby o'donis  and  kardinal offishall,akon,54,beautiful,2009, colby o'donis  and  kardinal offishall
54,coldplay,coldplay,55,viva la vida,2009,
55,akon,akon,56,right now (na na na),2009,
56,jordin sparks,jordin sparks,57,battlefield,2009,
57,flo rida  featuring  wynter gordon,flo rida,58,sugar,2009, wynter gordon
58,ne-yo,ne-yo,59,miss independent,2009,
59,owl city,owl city,60,fireflies,2009,
60,linkin park,linkin park,61,new divide,2009,
61,jay-z  featuring  alicia keys,jay-z,62,empire state of mind,2009, alicia keys
62,daughtry,daughtry,63,no surprise,2009,
63,shakira,shakira,64,she wolf,2009,
64,mario  featuring  gucci mane  and  sean garrett,mario,65,break up,2009, gucci mane  and  sean garrett
65,beyoncé,beyoncé knowles,66,sweet dreams,2009,
66,young money,young money,67,every girl in the world,2009,
67,colbie caillat,colbie caillat,68,fallin' for you,2009,
68,the veronicas,the veronicas,69,untouched,2009,
69,nickelback,nickelback,70,if today was your last day,2009,
70,fabolous  featuring  the-dream,fabolous,71,throw it in the bag,2009, the-dream
71,boys like girls,boys like girls,72,love drunk,2009,
72,asher roth,asher roth,73,i love college,2009,
73,britney spears,britney spears,74,if u seek amy,2009,
74,jason aldean,jason aldean,75,big green tractor,2009,
75,taylor swift,taylor swift,76,white horse,2009,
76,rihanna,rihanna,77,disturbia,2009,
77,green day,green day,78,21 guns,2009,
78,soulja boy tell 'em,soulja boy,79,turn my swag on,2009,
79,the-dream,the-dream,80,rockin' that thang,2009,
80,zac brown band,zac brown band,81,chicken fried,2009,
81,beyoncé,beyoncé knowles,82,diva,2009,
82,iyaz,iyaz,83,replay,2009,
83,brad paisley,brad paisley,84,then,2009,
84,rob thomas,rob thomas,85,her diamonds,2009,
85,jesse mccartney  featuring  ludacris,jesse mccartney,86,how do you sleep?,2009, ludacris
86,britney spears,britney spears,87,3,2009,
87,"drake  featuring  kanye west ,  lil wayne  and  eminem",drake,88,forever,2009," kanye west ,  lil wayne  and  eminem"
88,justin bieber,justin bieber,89,one time,2009,
89,lady antebellum,lady antebellum,90,i run to you,2009,
90,kelly clarkson,kelly clarkson,91,i do not hook up,2009,
91,john legend  featuring  andré 3000,john legend,92,green light,2009, andré 3000
92,billy currington,billy currington,93,people are crazy,2009,
93,zac brown band,zac brown band,94,whatever it is,2009,
94,kelly clarkson,kelly clarkson,95,already gone,2009,
95,kristinia debarge,kristinia debarge,96,goodbye,2009,
96,michael franti & spearhead  featuring  cherine anderson,michael franti,97,say hey (i love you),2009, cherine anderson
97,jim jones  featuring  ron browz  and  juelz santana,jim jones,98,pop champagne,2009, ron browz  and  juelz santana
98,maxwell,maxwell,99,pretty wings,2009,
99,the fray,the fray,100,never say never,2009,
0,kesha,kesha,1,tik tok,2010,
1,lady antebellum,lady antebellum,2,need you now,2010,
2,train,train,3,"hey, soul sister",2010,
3,katy perry  featuring  snoop dogg,katy perry,4,california gurls,2010, snoop dogg
4,usher  featuring  will.i.am,usher,5,omg,2010, will.i.am
5,b.o.b  featuring  hayley williams,b.o.b,6,airplanes,2010, hayley williams
6,eminem  featuring  rihanna,eminem,7,love the way you lie,2010, rihanna
7,lady gaga,lady gaga,8,bad romance,2010,
8,taio cruz,taio cruz,9,dynamite,2010,
9,taio cruz  featuring  ludacris,taio cruz,10,break your heart,2010, ludacris
10,b.o.b  featuring  bruno mars,b.o.b,11,nothin' on you,2010, bruno mars
11,enrique iglesias  featuring  pitbull,enrique iglesias,12,i like it,2010, pitbull
12,young money  featuring  lloyd,young money,13,bedrock,2010, lloyd
13,jason derulo,jason derulo,14,in my head,2010,
14,rihanna,rihanna,15,rude boy,2010,
15,lady gaga  featuring  beyoncé,lady gaga,16,telephone,2010, beyoncé
16,katy perry,katy perry,17,teenage dream,2010,
17,bruno mars,bruno mars,18,just the way you are,2010,
18,mike posner,mike posner,19,cooler than me,2010,
19,the black eyed peas,the black eyed peas,20,imma be,2010,
20,jay-z  featuring  alicia keys,jay-z,21,empire state of mind,2010, alicia keys
21,usher  featuring  pitbull,usher,22,dj got us fallin' in love,2010, pitbull
22,travie mccoy  featuring  bruno mars,travie mccoy,23,billionaire,2010, bruno mars
23,eminem,eminem,24,not afraid,2010,
24,iyaz,iyaz,25,replay,2010,
25,david guetta  featuring  akon,david guetta,26,sexy bitch,2010, akon
26,the script,the script,27,breakeven,2010,
27,kesha,kesha,28,your love is my drug,2010,
28,the black eyed peas,the black eyed peas,29,i gotta feeling,2010,
29,owl city,owl city,30,fireflies,2010,
30,trey songz  featuring  fabolous,trey songz,31,say aah,2010, fabolous
31,drake,drake,32,find your love,2010,
32,lady gaga,lady gaga,33,alejandro,2010,
33,jason derulo,jason derulo,34,ridin' solo,2010,
34,nelly,nelly,35,just a dream,2010,
35,ludacris,ludacris,36,how low,2010,
36,far east movement  featuring  the cataracs  and  dev,far east movement,37,like a g6,2010, the cataracs  and  dev
37,timbaland  featuring  justin timberlake,timbaland,38,carry out,2010, justin timberlake
38,michael bublé,michael bublé,39,haven't met you yet,2010,
39,flo rida  featuring  david guetta,flo rida,40,club can't handle me,2010, david guetta
40,jay sean  featuring  lil wayne,jay sean,41,down,2010, lil wayne
41,la roux,la roux,42,bulletproof,2010,
42,jason derulo,jason derulo,43,whatcha say,2010,
43,justin bieber  featuring  ludacris,justin bieber,44,baby,2010, ludacris
44,adam lambert,adam lambert,45,whataya want from me,2010,
45,taylor swift,taylor swift,46,mine,2010,
46,rihanna,rihanna,47,only girl (in the world),2010,
47,kris allen,kris allen,48,live like we're dying,2010,
48,rihanna  featuring  jeezy,rihanna,49,hard,2010, jeezy
49,jay-z  featuring  mr hudson,jay-z,50,young forever,2010, mr hudson
50,kesha  featuring  3oh!3,kesha,51,blah blah blah,2010, 3oh!3
51,trey songz  featuring  nicki minaj,trey songz,52,bottoms up,2010, nicki minaj
52,jay sean  featuring  sean paul  and  lil jon,jay sean,53,do you remember,2010, sean paul  and  lil jon
53,onerepublic,onerepublic,54,all the right moves,2010,
54,orianthi,orianthi,55,according to you,2010,
55,ludacris  featuring  nicki minaj,ludacris,56,my chick bad,2010, nicki minaj
56,taylor swift,taylor swift,57,you belong with me,2010,
57,the black eyed peas,the black eyed peas,58,meet me halfway,2010,
58,kesha,kesha,59,take it off,2010,
59,drake,drake,60,over,2010,
60,neon trees,neon trees,61,animal,2010,
61,maroon 5,maroon 5,62,misery,2010,
62,b.o.b  featuring  rivers cuomo,b.o.b,63,magic,2010, rivers cuomo
63,lady gaga,lady gaga,64,paparazzi,2010,
64,new boyz  featuring  ray j,new boyz,65,tie me down,2010, ray j
65,nicki minaj,nicki minaj,66,your love,2010,
66,miley cyrus,miley cyrus,67,party in the u.s.a.,2010,
67,chris brown  featuring  tyga  and  kevin mccall,chris brown,68,deuces,2010, tyga  and  kevin mccall
68,britney spears,britney spears,69,3,2010,
69,shontelle,shontelle,70,impossible,2010,
70,"drake  featuring  kanye west ,  lil wayne  and  eminem",drake,71,forever,2010," kanye west ,  lil wayne  and  eminem"
71,boys like girls  featuring  taylor swift,boys like girls,72,two is better than one,2010, taylor swift
72,3oh!3  featuring  kesha,3oh!3,73,my first kiss,2010, kesha
73,kelly clarkson,kelly clarkson,74,already gone,2010,
74,the black eyed peas,the black eyed peas,75,rock that body,2010,
75,onerepublic,onerepublic,76,secrets,2010,
76,selena gomez & the scene,selena gomez & the scene,77,naturally,2010,
77,alicia keys,alicia keys,78,un-thinkable (i'm ready),2010,
78,"dj khaled  featuring  t-pain ,  ludacris ,  snoop dogg  and  rick ross",dj khaled,79,all i do is win,2010," t-pain ,  ludacris ,  snoop dogg  and  rick ross"
79,"kevin rudolf  featuring  birdman ,  jay sean  and  lil wayne",kevin rudolf,80,i made it (cash money heroes),2010," birdman ,  jay sean  and  lil wayne"
80,sugarland,sugarland,81,stuck like glue,2010,
81,usher  featuring  plies,usher,82,hey daddy (daddy's home),2010, plies
82,usher,usher,83,there goes my baby,2010,
83,taylor swift,taylor swift,84,today was a fairytale,2010,
84,timbaland  featuring  drake,timbaland,85,say something,2010, drake
85,beyoncé,beyoncé knowles,86,sweet dreams,2010,
86,kings of leon,kings of leon,87,use somebody,2010,
87,carrie underwood,carrie underwood,88,undo it,2010,
88,sean kingston  and  justin bieber,sean kingston,89,eenie meenie,2010,
89,lil wayne  featuring  drake,lil wayne,90,right above it,2010, drake
90,miranda lambert,miranda lambert,91,the house that built me,2010,
91,the band perry,the band perry,92,if i die young,2010,
92,paramore,paramore,93,the only exception,2010,
93,lady antebellum,lady antebellum,94,american honey,2010,
94,sara bareilles,sara bareilles,95,king of anything,2010,
95,daughtry,daughtry,96,life after you,2010,
96,uncle kracker,uncle kracker,97,smile,2010,
97,cali swag district,cali swag district,98,teach me how to dougie,2010,
98,alicia keys,alicia keys,99,try sleeping with a broken heart,2010,
99,jerrod niemann,jerrod niemann,100,"lover, lover",2010,
0,adele,adele,1,rolling in the deep,2011,
1,lmfao  featuring  lauren bennett  and  goonrock,lmfao,2,party rock anthem,2011, lauren bennett  and  goonrock
2,katy perry,katy perry,3,firework,2011,
3,katy perry  featuring  kanye west,katy perry,4,e.t.,2011, kanye west
4,"pitbull  featuring  ne-yo ,  afrojack  and  nayer",pitbull,5,give me everything,2011," ne-yo ,  afrojack  and  nayer"
5,bruno mars,bruno mars,6,grenade,2011,
6,ceelo green,ceelo green,7,fuck you,2011,
7,nicki minaj,nicki minaj,8,super bass,2011,
8,maroon 5  featuring  christina aguilera,maroon 5,9,moves like jagger,2011, christina aguilera
9,the black eyed peas,the black eyed peas,10,just can't get enough,2011,
10,jennifer lopez  featuring  pitbull,jennifer lopez,11,on the floor,2011, pitbull
11,rihanna,rihanna,12,s&m,2011,
12,foster the people,foster the people,13,pumped up kicks,2011,
13,katy perry,katy perry,14,last friday night (t.g.i.f.),2011,
14,bruno mars,bruno mars,15,just the way you are,2011,
15,enrique iglesias  featuring  ludacris  and  dj frank e,enrique iglesias,16,tonight (i'm lovin' you),2011, ludacris  and  dj frank e
16,pink,pink,17,raise your glass,2011,
17,lady gaga,lady gaga,18,born this way,2011,
18,pink,pink,19,fuckin' perfect,2011,
19,rihanna  featuring  drake,rihanna,20,what's my name?,2011, drake
20,chris brown  featuring  lil wayne  and  busta rhymes,chris brown,21,look at me now,2011, lil wayne  and  busta rhymes
21,jeremih  featuring  50 cent,jeremih,22,down on me,2011, 50 cent
22,lil wayne,lil wayne,23,how to love,2011,
23,adele,adele,24,someone like you,2011,
24,onerepublic,onerepublic,25,good life,2011,
25,bruno mars,bruno mars,26,the lazy song,2011,
26,britney spears,britney spears,27,till the world ends,2011,
27,lupe fiasco,lupe fiasco,28,the show goes on,2011,
28,lady gaga,lady gaga,29,the edge of glory,2011,
29,kesha,kesha,30,we r who we r,2011,
30,wiz khalifa,wiz khalifa,31,black and yellow,2011,
31,hot chelle rae,hot chelle rae,32,tonight tonight,2011,
32,kesha,kesha,33,blow,2011,
33,bad meets evil  featuring  bruno mars,bad meets evil,34,lighters,2011, bruno mars
34,the band perry,the band perry,35,if i die young,2011,
35,gym class heroes  featuring  adam levine,gym class heroes,36,stereo hearts,2011, adam levine
36,the black eyed peas,the black eyed peas,37,the time (dirty bit),2011,
37,diddy – dirty money  featuring  skylar grey,diddy – dirty money,38,coming home,2011, skylar grey
38,pitbull  featuring  t-pain,pitbull,39,hey baby (drop it to the floor),2011, t-pain
39,rihanna,rihanna,40,only girl (in the world),2011,
40,lil wayne  featuring  cory gunz,lil wayne,41,6 foot 7 foot,2011, cory gunz
41,lady antebellum,lady antebellum,42,just a kiss,2011,
42,jason aldean,jason aldean,43,dirt road anthem,2011,
43,taio cruz,taio cruz,44,dynamite,2011,
44,waka flocka flame  featuring  wale  and  roscoe dash,waka flocka flame,45,no hands,2011, wale  and  roscoe dash
45,britney spears,britney spears,46,i wanna go,2011,
46,"dj khaled  featuring  drake ,  rick ross  and  lil wayne",dj khaled,47,i'm on one,2011," drake ,  rick ross  and  lil wayne"
47,cobra starship  featuring  sabi,cobra starship,48,you make me feel...,2011, sabi
48,chris brown,chris brown,49,yeah 3x,2011,
49,nicki minaj  featuring  drake,nicki minaj,50,moment 4 life,2011, drake
50,dr. dre  featuring  eminem  and  skylar grey,dr. dre,51,i need a doctor,2011, eminem  and  skylar grey
51,nelly,nelly,52,just a dream,2011,
52,kelly rowland  featuring  lil wayne,kelly rowland,53,motivation,2011, lil wayne
53,edward maya  featuring  vika jigulina,edward maya,54,stereo love,2011, vika jigulina
54,christina perri,christina perri,55,jar of hearts,2011,
55,wiz khalifa,wiz khalifa,56,roll up,2011,
56,lmfao,lmfao,57,sexy and i know it,2011,
57,far east movement  featuring  ryan tedder,far east movement,58,rocketeer,2011, ryan tedder
58,kanye west  featuring  rihanna,kanye west,59,all of the lights,2011, rihanna
59,britney spears,britney spears,60,hold it against me,2011,
60,usher,usher,61,more,2011,
61,avril lavigne,avril lavigne,62,what the hell,2011,
62,tinie tempah  featuring  eric turner,tinie tempah,63,written in the stars,2011, eric turner
63,trey songz  featuring  nicki minaj,trey songz,64,bottoms up,2011, nicki minaj
64,usher  featuring  pitbull,usher,65,dj got us fallin' in love,2011, pitbull
65,the script,the script,66,for the first time,2011,
66,blake shelton,blake shelton,67,honey bee,2011,
67,jason aldean  featuring  kelly clarkson,jason aldean,68,don't you wanna stay,2011, kelly clarkson
68,rihanna  featuring  calvin harris,rihanna,69,we found love,2011, calvin harris
69,keri hilson,keri hilson,70,pretty girl rock,2011,
70,lady gaga,lady gaga,71,yoü and i,2011,
71,far east movement  featuring  the cataracs  and  dev,far east movement,72,like a g6,2011, the cataracs  and  dev
72,david guetta  featuring  usher,david guetta,73,without you,2011, usher
73,taylor swift,taylor swift,74,back to december,2011,
74,katy perry,katy perry,75,teenage dream,2011,
75,eli young band,eli young band,76,crazy girl,2011,
76,rihanna,rihanna,77,cheers (drink to that),2011,
77,selena gomez & the scene,selena gomez & the scene,78,who says,2011,
78,jake owen,jake owen,79,barefoot blue jean night,2011,
79,zac brown band  featuring  jimmy buffett,zac brown band,80,knee deep,2011, jimmy buffett
80,luke bryan,luke bryan,81,country girl (shake it for me),2011,
81,brad paisley  and  carrie underwood,brad paisley,82,remind me,2011,
82,dev,dev,83,in the dark,2011,
83,new boyz  featuring  the cataracs  and  dev,new boyz,84,backseat,2011, the cataracs  and  dev
84,drake,drake,85,headlines,2011,
85,beyoncé,beyoncé knowles,86,best thing i never had,2011,
86,jason derulo,jason derulo,87,don't wanna go home,2011,
87,david guetta  featuring  flo rida  and  nicki minaj,david guetta,88,where them girls at,2011, flo rida  and  nicki minaj
88,chris brown,chris brown,89,she ain't you,2011,
89,rodney atkins,rodney atkins,90,take a back road,2011,
90,mike posner,mike posner,91,please don't go,2011,
91,miguel,miguel,92,sure thing,2011,
92,jessie j  featuring  b.o.b,jessie j,93,price tag,2011, b.o.b
93,blake shelton,blake shelton,94,god gave me you,2011,
94,lil wayne  featuring  drake,lil wayne,95,she will,2011, drake
95,thompson square,thompson square,96,are you gonna kiss me or not,2011,
96,neon trees,neon trees,97,animal,2011,
97,kenny chesney  featuring  grace potter,kenny chesney,98,you and tequila,2011, grace potter
98,zac brown band,zac brown band,99,colder weather,2011,
99,big sean  featuring  chris brown,big sean,100,my last,2011, chris brown
0,gotye  featuring  kimbra,gotye,1,somebody that i used to know,2012, kimbra
1,carly rae jepsen,carly rae jepsen,2,call me maybe,2012,
2,fun  featuring  janelle monáe,fun,3,we are young,2012, janelle monáe
3,maroon 5  featuring  wiz khalifa,maroon 5,4,payphone,2012, wiz khalifa
4,ellie goulding,ellie goulding,5,lights,2012,
5,the wanted,the wanted,6,glad you came,2012,
6,kelly clarkson,kelly clarkson,7,stronger (what doesn't kill you),2012,
7,rihanna  featuring  calvin harris,rihanna,8,we found love,2012, calvin harris
8,nicki minaj,nicki minaj,9,starships,2012,
9,one direction,one direction,10,what makes you beautiful,2012,
10,flo rida  featuring  sia,flo rida,11,wild ones,2012, sia
11,adele,adele,12,set fire to the rain,2012,
12,lmfao,lmfao,13,sexy and i know it,2012,
13,fun,fun,14,some nights,2012,
14,katy perry,katy perry,15,wide awake,2012,
15,flo rida,flo rida,16,good feeling,2012,
16,flo rida,flo rida,17,whistle,2012,
17,maroon 5,maroon 5,18,one more night,2012,
18,train,train,19,drive by,2012,
19,drake  featuring  lil wayne,drake,20,the motto,2012, lil wayne
20,rihanna,rihanna,21,where have you been,2012,
21,neon trees,neon trees,22,everybody talks,2012,
22,drake  featuring  rihanna,drake,23,take care,2012, rihanna
23,david guetta  featuring  sia,david guetta,24,titanium,2012, sia
24,jason mraz,jason mraz,25,i won't give up,2012,
25,bruno mars,bruno mars,26,it will rain,2012,
26,"kanye west ,  big sean ,  pusha t  and  2 chainz",kanye west,27,mercy,2012,
27,justin bieber,justin bieber,28,boyfriend,2012,
28,lmfao  featuring  lauren bennett  and  goonrock,lmfao,29,party rock anthem,2012, lauren bennett  and  goonrock
29,alex clare,alex clare,30,too close,2012,
30,katy perry,katy perry,31,part of me,2012,
31,snoop dogg  and  wiz khalifa  featuring  bruno mars,snoop dogg,32,"young, wild & free",2012, bruno mars
32,taylor swift,taylor swift,33,we are never ever getting back together,2012,
33,justin bieber  featuring  big sean,justin bieber,34,as long as you love me,2012, big sean
34,david guetta  featuring  nicki minaj,david guetta,35,turn me on,2012, nicki minaj
35,maroon 5  featuring  christina aguilera,maroon 5,36,moves like jagger,2012, christina aguilera
36,pink,pink,37,blow me (one last kiss),2012,
37,owl city  and  carly rae jepsen,owl city,38,good time,2012,
38,demi lovato,demi lovato,39,give your heart a break,2012,
39,jay-z  and  kanye west,jay-z,40,niggas in paris,2012,
40,katy perry,katy perry,41,the one that got away,2012,
41,calvin harris,calvin harris,42,feel so close,2012,
42,adele,adele,43,someone like you,2012,
43,usher,usher,44,scream,2012,
44,tyga,tyga,45,rack city,2012,
45,jessie j,jessie j,46,domino,2012,
46,psy,psy,47,gangnam style,2012,
47,pitbull  featuring  chris brown,pitbull,48,international love,2012, chris brown
48,phillip phillips,phillip phillips,49,home,2012,
49,david guetta  featuring  usher,david guetta,50,without you,2012, usher
50,gym class heroes  featuring  neon hitch,gym class heroes,51,ass back home,2012, neon hitch
51,hunter hayes,hunter hayes,52,wanted,2012,
52,luke bryan,luke bryan,53,drunk on you,2012,
53,2 chainz  featuring  drake,2 chainz,54,no lie,2012, drake
54,cher lloyd,cher lloyd,55,want u back,2012,
55,chris brown,chris brown,56,don't wake me up,2012,
56,big sean  featuring  nicki minaj,big sean,57,dance (a$$),2012, nicki minaj
57,eric church,eric church,58,springsteen,2012,
58,karmin,karmin,59,brokenhearted,2012,
59,gavin degraw,gavin degraw,60,not over you,2012,
60,gym class heroes  featuring  adam levine,gym class heroes,61,stereo hearts,2012, adam levine
61,pitbull,pitbull,62,back in time,2012,
62,j. cole,j. cole,63,work out,2012,
63,adele,adele,64,rumour has it,2012,
64,calvin harris  featuring  ne-yo,calvin harris,65,let's go,2012, ne-yo
65,carrie underwood,carrie underwood,66,good girl,2012,
66,little big town,little big town,67,pontoon,2012,
67,the lumineers,the lumineers,68,ho hey,2012,
68,coldplay,coldplay,69,paradise,2012,
69,carrie underwood,carrie underwood,70,blown away,2012,
70,adele,adele,71,rolling in the deep,2012,
71,usher,usher,72,climax,2012,
72,wiz khalifa,wiz khalifa,73,"work hard, play hard",2012,
73,ne-yo,ne-yo,74,let me love you (until you learn to love yourself),2012,
74,nicki minaj,nicki minaj,75,pound the alarm,2012,
75,kenny chesney,kenny chesney,76,come over,2012,
76,trey songz,trey songz,77,heart attack,2012,
77,kirko bangz,kirko bangz,78,drank in my cup,2012,
78,rihanna  featuring  chris brown,rihanna,79,birthday cake,2012, chris brown
79,b.o.b,b.o.b,80,so good,2012,
80,train,train,81,50 ways to say goodbye,2012,
81,toby keith,toby keith,82,red solo cup,2012,
82,selena gomez & the scene,selena gomez & the scene,83,love you like a love song,2012,
83,chris brown,chris brown,84,turn up the music,2012,
84,kesha,kesha,85,die young,2012,
85,t-pain  featuring  wiz khalifa  and  lily allen,t-pain,86,5 o'clock,2012, wiz khalifa  and  lily allen
86,christina perri,christina perri,87,a thousand years,2012,
87,jason aldean,jason aldean,88,take a little ride,2012,
88,rihanna,rihanna,89,you da one,2012,
89,havana brown  featuring  pitbull,havana brown,90,we run the night,2012, pitbull
90,imagine dragons,imagine dragons,91,it's time,2012,
91,cash out,cash out,92,cashin' out,2012,
92,luke bryan,luke bryan,93,i don't want this night to end,2012,
93,rihanna,rihanna,94,diamonds,2012,
94,lee brice,lee brice,95,hard to love,2012,
95,kip moore,kip moore,96,somethin' 'bout a truck,2012,
96,miguel,miguel,97,adorn,2012,
97,jason aldean,jason aldean,98,fly over states,2012,
98,eli young band,eli young band,99,even if it breaks your heart,2012,
99,linkin park,linkin park,100,burn it down,2012,
0,macklemore  and  ryan lewis  featuring  wanz,macklemore,1,thrift shop,2013, wanz
1,robin thicke  featuring  t.i.  and  pharrell williams,robin thicke,2,blurred lines,2013, t.i.  and  pharrell williams
2,imagine dragons,imagine dragons,3,radioactive,2013,
3,baauer,baauer,4,harlem shake,2013,
4,macklemore  and  ryan lewis  featuring  ray dalton,macklemore,5,can't hold us,2013, ray dalton
5,justin timberlake,justin timberlake,6,mirrors,2013,
6,pink  featuring  nate ruess,pink,7,just give me a reason,2013, nate ruess
7,bruno mars,bruno mars,8,when i was your man,2013,
8,florida georgia line  featuring  nelly,florida georgia line,9,cruise,2013, nelly
9,katy perry,katy perry,10,roar,2013,
10,bruno mars,bruno mars,11,locked out of heaven,2013,
11,the lumineers,the lumineers,12,ho hey,2013,
12,rihanna  featuring  mikky ekko,rihanna,13,stay,2013, mikky ekko
13,daft punk  featuring  pharrell williams,daft punk,14,get lucky,2013, pharrell williams
14,lorde,lorde,15,royals,2013,
15,taylor swift,taylor swift,16,i knew you were trouble,2013,
16,miley cyrus,miley cyrus,17,we can't stop,2013,
17,miley cyrus,miley cyrus,18,wrecking ball,2013,
18,avicii,avicii,19,wake me up,2013,
19,justin timberlake  featuring  jay-z,justin timberlake,20,suit & tie,2013, jay-z
20,anna kendrick,anna kendrick,21,cups,2013,
21,jay z  featuring  justin timberlake,jay z,22,holy grail,2013, justin timberlake
22,will.i.am  featuring  britney spears,will.i.am,23,scream and shout,2013, britney spears
23,zedd  featuring  foxes,zedd,24,clarity,2013, foxes
24,awolnation,awolnation,25,sail,2013,
25,swedish house mafia  featuring  john martin,swedish house mafia,26,don't you worry child,2013, john martin
26,rihanna,rihanna,27,diamonds,2013,
27,icona pop  featuring  charli xcx,icona pop,28,i love it,2013, charli xcx
28,capital cities,capital cities,29,safe and sound,2013,
29,bruno mars,bruno mars,30,treasure,2013,
30,ariana grande  featuring  mac miller,ariana grande,31,the way,2013, mac miller
31,drake,drake,32,started from the bottom,2013,
32,selena gomez,selena gomez,33,come & get it,2013,
33,drake  featuring  majid jordan,drake,34,"hold on, we're going home",2013, majid jordan
34,maroon 5,maroon 5,35,daylight,2013,
35,pitbull  featuring  christina aguilera,pitbull,36,feel this moment,2013, christina aguilera
36,lady gaga,lady gaga,37,applause,2013,
37,maroon 5,maroon 5,38,one more night,2013,
38,lil wayne  featuring  drake  and  future,lil wayne,39,love me,2013, drake  and  future
39,fall out boy,fall out boy,40,my songs know what you did in the dark (light em up),2013,
40,"a$ap rocky  featuring  drake ,  2 chainz  and  kendrick lamar",a$ap rocky,41,fuckin' problems,2013," drake ,  2 chainz  and  kendrick lamar"
41,justin bieber  featuring  nicki minaj,justin bieber,42,beauty and a beat,2013, nicki minaj
42,macklemore  and  ryan lewis  featuring  mary lambert,macklemore,43,same love,2013, mary lambert
43,calvin harris  featuring  florence welch,calvin harris,44,sweet nothing,2013, florence welch
44,lana del rey  and  cédric gervais,lana del rey,45,summertime sadness,2013,
45,phillip phillips,phillip phillips,46,home,2013,
46,imagine dragons,imagine dragons,47,it's time,2013,
47,j. cole  featuring  miguel,j. cole,48,power trip,2013, miguel
48,alicia keys,alicia keys,49,girl on fire,2013,
49,demi lovato,demi lovato,50,heart attack,2013,
50,maroon 5,maroon 5,51,love somebody,2013,
51,mumford & sons,mumford & sons,52,i will wait,2013,
52,pink,pink,53,try,2013,
53,darius rucker,darius rucker,54,wagon wheel,2013,
54,psy,psy,55,gangnam style,2013,
55,calvin harris  featuring  ellie goulding,calvin harris,56,i need your love,2013, ellie goulding
56,kesha,kesha,57,die young,2013,
57,fun,fun,58,some nights,2013,
58,wale  featuring  tiara thomas,wale,59,bad,2013, tiara thomas
59,blake shelton  featuring  pistol annies  and friends,blake shelton,60,boys 'round here,2013, pistol annies  and friends
60,phillip phillips,phillip phillips,61,"gone, gone, gone",2013,
61,imagine dragons,imagine dragons,62,demons,2013,
62,onerepublic,onerepublic,63,counting stars,2013,
63,flo rida,flo rida,64,i cry,2013,
64,of monsters and men,of monsters and men,65,little talks,2013,
65,jason derulo,jason derulo,66,the other side,2013,
66,eminem,eminem,67,berzerk,2013,
67,kelly clarkson,kelly clarkson,68,catch my breath,2013,
68,luke bryan,luke bryan,69,crash my party,2013,
69,rihanna,rihanna,70,pour it up,2013,
70,taylor swift,taylor swift,71,22,2013,
71,hunter hayes,hunter hayes,72,i want crazy,2013,
72,ylvis,ylvis,73,the fox (what does the fox say?),2013,
73,one direction,one direction,74,best song ever,2013,
74,ed sheeran,ed sheeran,75,the a team,2013,
75,fun,fun,76,carry on,2013,
76,tim mcgraw  featuring  taylor swift  and  keith urban,tim mcgraw,77,highway don't care,2013, taylor swift  and  keith urban
77,luke bryan,luke bryan,78,that's my kind of night,2013,
78,kendrick lamar,kendrick lamar,79,swimming pools (drank),2013,
79,blake shelton,blake shelton,80,sure be cool if you did,2013,
80,mariah carey  featuring  miguel,mariah carey,81,#beautiful,2013, miguel
81,olly murs  featuring  flo rida,olly murs,82,troublemaker,2013, flo rida
82,ciara,ciara,83,body party,2013,
83,miguel,miguel,84,adorn,2013,
84,the script  featuring  will.i.am,the script,85,hall of fame,2013, will.i.am
85,ne-yo,ne-yo,86,let me love you (until you learn to love yourself),2013,
86,rocko  featuring  future  and  rick ross,rocko,87,u.o.e.n.o.,2013, future  and  rick ross
87,emeli sandé,emeli sandé,88,next to me,2013,
88,miranda lambert,miranda lambert,89,mama's broken heart,2013,
89,thomas rhett,thomas rhett,90,it goes like this,2013,
90,ace hood  featuring  future  and  rick ross,ace hood,91,bugatti,2013, future  and  rick ross
91,hunter hayes,hunter hayes,92,wanted,2013,
92,lady antebellum,lady antebellum,93,downtown,2013,
93,florida georgia line,florida georgia line,94,get your shine on,2013,
94,will.i.am  featuring  justin bieber,will.i.am,95,#thatpower,2013, justin bieber
95,sara bareilles,sara bareilles,96,brave,2013,
96,passenger,passenger,97,let her go,2013,
97,randy houser,randy houser,98,runnin' outta moonlight,2013,
98,2 chainz,2 chainz,99,i'm different,2013,
99,paramore,paramore,100,still into you,2013,
0,pharrell williams,pharrell williams,1,happy,2014,
1,katy perry  featuring  juicy j,katy perry,2,dark horse,2014, juicy j
2,john legend,john legend,3,all of me,2014,
3,iggy azalea  featuring  charli xcx,iggy azalea,4,fancy,2014, charli xcx
4,onerepublic,onerepublic,5,counting stars,2014,
5,jason derulo  featuring  2 chainz,jason derulo,6,talk dirty,2014, 2 chainz
6,magic!,magic!,7,rude,2014,
